LocInfo,TECHNO,LAC,CI,COORD_X,COORD_Y,LON,LAT,min_dt,max_dt,NOM_SITE
8102f810016f1902,4G,1,24058114,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f8101611b22d,3G,5649,45613,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
0102f81003fb4c8d,3G,1019,19597,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f81016116007,3G,5649,24583,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
0102f8101611340e,3G,5649,13326,600535,2428390,2.343792,48.853852,2019/03/15,2019/06/22,SEINE_ST_MICHEL
0102f81016118ae0,3G,5649,35552,600715,2428426,2.346244,48.854175,2019/03/15,2019/06/22,HOTEL_DIEU
0102f81003fb967a,3G,1019,38522,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,OSM_MUTUALITE_INDOOR
8102f810016e9109,4G,1,24023305,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
0102f81016110021,3G,5649,33,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016e9103,4G,1,24023299,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016f1605,4G,1,24057349,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
8102f810016f1901,4G,1,24058113,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f81003fb7c0c,3G,1019,31756,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,OSM_MUTUALITE_INDOOR
8102f81001743e01,4G,1,24395265,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,MM_MAISON_MUTUALITE_EVENT_2013_BKUP
8102f810016e910c,4G,1,24023308,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016f1903,4G,1,24058115,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f81003fda23e,3G,1021,41534,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,MM_MAISON_MUTUAL_EVT_2013_BKP_S2
0102f81003fbc67b,3G,1019,50811,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
0102f810161125c4,3G,5649,9668,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016f1606,4G,1,24057350,601063,2428756,2.350984,48.85714,2019/03/15,2019/06/22,PARIS_HOTEL_DE_VILLE
8102f810016f1905,4G,1,24058117,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
8102f810016e9107,4G,1,24023303,600457,2428150,2.342729,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
8102f810016f1907,4G,1,24058119,601036,2427828,2.350614,48.8488,2019/03/15,2019/06/22,PARADIS_LATIN
