LocationId,count,LON,LAT,NOM_SITE
121,1,2.2934,48.870785,CENTRE_INT_KLEBER_CMR_EVENT
122,4,2.2935369999999997,48.869383,DUMONT
123,4,2.293562,48.872331,OSM_SOPRA_STERIA_IND
124,2,2.293704,48.833234999999995,MM_OLIVIER_DE_SERRES_VOEUX_2011_EVENT
125,2,2.293694,48.844623,COMMERCE_METRO_L8
126,18,2.293719,48.864089,PIERRE_1ER_DE_SERBIE
127,2,2.293718,48.865041999999995,IENA_METRO_L9
128,4,2.293773,48.847786,LETELLIER_2_MB
129,4,2.293924,48.862346,SEINE_IENA_EST
130,10,2.293957,48.871702,OSM_SCOR_PARIS_INDOOR
131,27,2.294077,48.87527,CDG_ETOILE_RER_A
132,10,2.2941529999999997,48.833236,OSM_TOUR_OLIVIER_DE_SERRES_INDOOR
133,4,2.294362,48.876205,MAC_MAHON
134,12,2.294404,48.875557,GENERAL_LANREZAC_EB
135,3,2.294565,48.878828999999996,FNAC_ETOILE_1_INDOOR
136,18,2.2947759999999997,48.837621999999996,HOPITAL_CONVENTION
137,27,2.294867,48.841774,SQUARE_LAMBERT
138,3,2.2950779999999997,48.834072,RUE_DES_MORILLONS
139,2,2.2953259999999998,48.847077,AV_EMILE_ZOLA_METRO_L10
140,5,2.2953669999999997,48.846475,BOUTIQUE_SDR_COMMERCE_PDV1
141,4,2.2954779999999997,48.878155,TERNES_MONTENOTTE
142,4,2.295547,48.876672,BREY
143,27,2.296061,48.847823,LETELLIER
144,18,2.296615,48.869986,NEWTON
145,2,2.296682,48.837281,CONVENTION_METRO_L12
146,4,2.296668,48.872485,OSM_PUBLICIS_VERNET_INDOOR
147,27,2.296768,48.849684,LA_MOTTE_PICQUET
148,5,2.296821,48.868476,OSM_ORANGE_RD_BASSANO_INDOOR
149,27,2.2968919999999997,48.830028000000006,PORTE_PLAISANCE
150,3,2.2968889999999997,48.868485,"COLLECTION_ETE_ORANGE_EVENT, COLLECTION_PRINTEMP_ORANGE_EVENT"
151,27,2.296916,48.868476,BASSANO
152,27,2.296939,48.874228,CDG_ETOILE_METRO_L1
153,27,2.2970759999999997,48.873554,CDG_ETOILE_METRO_FRIEDLAND
154,6,2.297335,48.873258,TPIM_ETOILE
155,18,2.297444,48.873581,FRIEDLAND_RE
156,4,2.29754,48.872539,AGENCE_FT_PARIS_CHAMPS_ELYSEES_PDV1
157,27,2.297901,48.845145,MEILHAC
158,18,2.297908,48.871919,VERNET_RE
159,4,2.298044,48.872458,CHAMPS_HOUSSAYE_BIS
160,5,2.298036,48.882874,DEMOURS_BANVILLE
161,27,2.2981409999999998,48.852084000000005,SUFFREN
162,11,2.298218,48.876538000000004,"OSM_EDF_WAGRAM_PARIS_INDOOR, SIEGE_EDF_WAGRAM"
163,27,2.2982560000000003,48.880078999999995,WAGRAM
164,4,2.298396,48.875352,HOCHE_BEAUJON
165,30,2.298425,48.855616,MM_FAN_ZONE_EVENT_1
166,27,2.298538,48.848875,LA_MOTTE_PICQUET_METRO_L6_8_10
167,1,2.298606,48.867354,OSM_ORRICK_PARIS_INDOOR
168,27,2.29908,48.835295,VAUGIRARD_DUVAL
169,4,2.2991610000000002,48.873428999999994,BYRON_BALZAC_BIS
170,27,2.299416,48.859066999999996,QUAI_BRANLY
171,1,2.299525,48.87768,OSM_GROUPAMA_PARIS_ST_HONORE_INDOOR
172,2,2.299684,48.866141,MM_AUDI_MARCEAU_2011_EVENT
173,4,2.299763,48.850161,GENERAL_DE_CASTELNAU
174,4,2.299857,48.871245,BASSANO_EULER_BIS
175,21,2.300147,48.865673,ALMA_MARCEAU_EB
176,30,2.300196,48.854411999999996,MM_FAN_ZONE_EVENT_3
177,8,2.300243,48.864271,SEINE_ALMA
178,4,2.300306,48.872378000000005,CHAMPS_MERCEDES
179,4,2.3003419999999997,48.878417,COURCELLES_NEVA_BIS
180,3,2.300566,48.870149,HOTEL_GEORGES_V_INDOOR
181,1,2.300565,48.871569,CONFERENCE_DSI_GEORGES_V_EVENT
182,6,2.300565,48.871731,GEORGE_V_METRO_L1
183,27,2.300662,48.869008,PRINCE_GALLES
184,2,2.3008290000000002,48.864406,ALMA_MARCEAU_METRO_L9
185,10,2.301283,48.877142,MM_HELLOSHOW_2017
186,4,2.301328,48.871354,OSM_LUCIEN_BARRIERE_PARIS_INDOOR
187,12,2.301399,48.867876,"MM_EUROSITES_GV_I_DAY10_EVENT, MM_GV_DRH_2010_EVENT, EUROSITES_GV_INVESTOR_DAY09_EVENT, EUROSITES_GV_INVESTOR_DAY_EVENT, EUROSITES_GEORGES_V_EVENT, GEORGE_V_1"
188,4,2.301452,48.869925,GEORGE_V_DUNANT
189,21,2.3014799999999997,48.868854999999996,PIERRE_CHARRON
190,30,2.3016259999999997,48.853873,MM_FAN_ZONE_EVENT_2
191,21,2.301677,48.859553000000005,QUAI_BRANLY_EU
192,18,2.301736,48.8326,VILLAFRANCA
193,4,2.301773,48.85781,RUE_AUGEREAU
194,12,2.301768,48.886165000000005,ALFRED_ROLL
195,15,2.30188,48.841543,ST_LAMBERT_IDF
196,27,2.301878,48.883711,PLACE_DU_BRESIL_N_RE
197,4,2.30205,48.871821000000004,CHAMPS_BERRI
198,4,2.302069,48.883765000000004,WAGRAM_PRONY_BIS
199,2,2.30212,48.86908,"HOTEL_PERSHING_CHARRON_EVENT, PERSHING_CHARRON_EVENT"
200,2,2.302337,48.870851,MM_CINEDAY_PARIS_2012_EVENT
201,27,2.3024720000000003,48.872648,CHATEAUBRIAND
202,14,2.302563,48.858655,BOSQUET
203,4,2.302557,48.868047,MAROT_MARBOEUF
204,3,2.302579,48.875659000000006,OSM_ETOILE_ST_HONORE_PARIS_INDOOR
205,4,2.302618,48.878463,COURCELLES_DARU
206,27,2.302651,48.849028999999994,CAMBRONNE
207,27,2.3027130000000002,48.838235,BARRUEL
208,27,2.3029319999999998,48.876818,HOCHE
209,2,2.303212,48.865691999999996,DROUOT_MONTAIGNE_INDOOR
210,2,2.303301,48.876001,GOLDEN_TULIPE_INDOOR
211,1,2.303341,48.876979999999996,SALONS_HOCHE_DME_EVENT
212,27,2.303413,48.829661,SQUARE_CASTAGNARY
213,27,2.303433,48.861639000000004,OSMSLA_AV_RAPP_TDF_RF
214,2,2.303517,48.879137,COURCELLES_METRO_L2
215,27,2.303948,48.844590000000004,UNESCO
216,1,2.303958,48.870662,CULTURE_BIERE_ELYSEE_EVENT
217,3,2.304033,48.839467,FNMF_MUTUALITE_FRANCAISE
218,27,2.3041150000000004,48.881519,CARNOT
219,27,2.304377,48.855177000000005,CHAMPS_DE_MARS_BIS
220,31,2.304383,48.86634,RUE_TREMOILLE
221,4,2.304409,48.869189,MARBOEUF
222,4,2.304637,48.874266999999996,WASHINGTON
223,2,2.304637,48.874608,MM_CONNECTING_TECHNOLOGY_EVENT
224,1,2.304631,48.883955,WAGRAM_METRO_L3
225,9,2.304975,48.856499,RAPP_BOSQUET_BIS
226,33,2.304979,48.872658,CHATEAUBRIAND_EU
227,5,2.305113,48.875201000000004,FRIEDLAND_ST_HONORE
228,4,2.30524,48.86785,EUROPE_1
229,2,2.305252,48.870888,PARKING_CHAMPS_ELYSEES
230,4,2.305308,48.869539,MM_1515_2011_EVENT
231,4,2.305381,48.883793,VILLIERS_LOUTIL
232,33,2.305484,48.869997999999995,MONTAIGNE
233,27,2.305899,48.882787,LYCEE_CARNOT
234,2,2.306027,48.828458000000005,FT_LOSSERAND_INDOOR
235,5,2.306136,48.850702000000005,"OSM_UNESCO_FONTENOY_INDOOR, MM_UNESCO_FONTENOY"
236,4,2.30614,48.867302,MARIGNAN
237,12,2.3062139999999998,48.834659,CLINIQUE_LABROUSTE
238,3,2.306291,48.866044,OSM_LVMH_MONTAIGNE_INDOOR
239,2,2.3064,48.865217,GIDE_LOYRETTE_INDOOR
240,2,2.306499,48.835765,SIEGE_FT_INDOOR
241,10,2.306622,48.835954,ORANGE_ALLERAY_1_INDOOR
242,3,2.306654,48.873746000000004,BERRI_ARTOIS
243,4,2.306669,48.870456,OSM_GALERIE LAFAYETTE PARIS 8_ INDOOR
244,3,2.306731,48.835190000000004,CLINIQUE_LABROUSTE_EU
245,21,2.306806,48.869585,MONTAIGNE_EU
246,3,2.306843,48.875687,OSM_SOFIPROTEOL_MONCEAU_INDOOR
247,4,2.306894,48.882967,RUE_CARDINET
248,27,2.306906,48.885798,MALESHERBES_TOCQUEVILLE_BIS
249,7,2.307085,48.835432,OSM_ROBOTS_ATS_ST_LAMBERT
250,1,2.307162,48.844052000000005,AGENCE_FT_PARIS_LECOURBE_PDV1
251,27,2.307202,48.891127000000004,BLD_BERTHIER
252,4,2.307235,48.881861,HENRI_ROCHEFORT
253,2,2.3073099999999998,48.847044,SEGUR_METRO_L10
254,1,2.307309,48.8714,AGENCE_FT_PARIS_LA_BOETIE_PDV1
