,LocInfo,TECHNO,LAC,CI,COORD_X,COORD_Y,LON,LAT,min_dt,max_dt,NOM_SITE
251580,0102f8100317d679,3G,791,54905,596886,2430774,2.294077,48.87527,2019/03/15,2019/06/22,CDG_ETOILE_RER_A
251581,0102f8100317e038,3G,791,57400,600793,2429267,2.347307,48.861733,2019/03/15,2019/06/22,CHATELET_LES_HALLES_RER_A
251582,0102f8100317eb84,3G,791,60292,600556,2430858,2.344081,48.876032,2019/03/15,2019/06/22,CADET_METRO_L7
251591,0102f8100318e35c,3G,792,58204,602525,2426585,2.370884,48.837624,2019/03/15,2019/06/22,TUNNEL_GSMR_AUSTERLITZ_GARE
251593,0102f81003fa0ba3,3G,1018,2979,601302,2430490,2.354244,48.872724,2019/03/15,2019/06/22,ST_DENIS_ENGHIEN_BIS
251594,0102f81003fad985,3G,1018,55685,601958,2430521,2.363182,48.873001,2019/03/15,2019/06/22,JEMMAPES_RICHERAND
251596,0102f81003fb0812,3G,1019,2066,604452,2427068,2.397125,48.841955,2019/03/15,2019/06/22,PLACE_FELIX_EBOUE
251597,0102f81003fb15ab,3G,1019,5547,601513,2426220,2.357104,48.834346999999994,2019/03/15,2019/06/22,MAIRIE_DU_13EME
251598,0102f81003fb3034,3G,1019,12340,603050,2433320,2.3780799999999997,48.898152,2019/03/15,2019/06/22,OSM_BNP_2_MAC_DONALD_IND
251599,0102f81003fb3bfe,3G,1019,15358,602935,2431306,2.3764979999999998,48.880052,2019/03/15,2019/06/22,MATHURIN_MOREAU
251600,0102f81003fb6af5,3G,1019,27381,602953,2427745,2.376719,48.848048,2019/03/15,2019/06/22,COTTE
251601,0102f81003fb7390,3G,1019,29584,604146,2432238,2.393009,48.888422,2019/03/15,2019/06/22,STADE_LADOUMEGUE
251602,0102f81003fb8001,3G,1019,32769,601733,2432279,2.3601229999999997,48.888801,2019/03/15,2019/06/22,MARX_DORMOY
251603,0102f81003fb8415,3G,1019,33813,601733,2432279,2.3601229999999997,48.888801,2019/03/15,2019/06/22,MARX_DORMOY
251605,0102f81003fb8df1,3G,1019,36337,601925,2427045,2.362717,48.841761,2019/03/15,2019/06/22,PONT_DE_TOLBIAC_TER
251610,0102f81003fbd892,3G,1019,55442,602108,2432650,2.365236,48.892134000000006,2019/03/15,2019/06/22,PLACE_HEBERT
251611,0102f81003fbe31c,3G,1019,58140,602634,2427136,2.372371,48.842576,2019/03/15,2019/06/22,VAN_GOGH_2
251612,0102f81003fbea9f,3G,1019,60063,604483,2430827,2.3975869999999997,48.875739,2019/03/15,2019/06/22,TELEGRAPHE
251616,0102f81003ff4252,3G,1023,16978,604861,2426435,2.402687,48.836263,2019/03/15,2019/06/22,MICHEL_BIZOT
251619,0102f810040419d6,3G,1028,6614,596707,2427380,2.291665,48.844766,2019/03/15,2019/06/22,COMMERCE
251620,0102f81004041ca1,3G,1028,7329,597204,2428587,2.298425,48.855616,2019/03/15,2019/06/22,MM_FAN_ZONE_EVENT_1
251621,0102f8100404716a,3G,1028,29034,597609,2427360,2.303948,48.844590000000004,2019/03/15,2019/06/22,UNESCO
251622,0102f81004052a1d,3G,1029,10781,597502,2430482,2.3024720000000003,48.872648,2019/03/15,2019/06/22,CHATEAUBRIAND
251623,0102f81004054db0,3G,1029,19888,595774,2426429,2.27897,48.836213,2019/03/15,2019/06/22,HELIPORT
251624,0102f8100405c0d0,3G,1029,49360,600032,2430392,2.336941,48.871844,2019/03/15,2019/06/22,BNP_OPERA_HANOVRE
251625,0102f8100405c0d2,3G,1029,49362,600179,2429348,2.3389439999999997,48.862462,2019/03/15,2019/06/22,CROIX_DES_PETITS_CHAMPS
251626,0102f8100405dd9e,3G,1029,56734,594792,2427316,2.265589,48.844178,2019/03/15,2019/06/22,CHARDON_LAGACHE
251627,0102f8100405e3c4,3G,1029,58308,599638,2430478,2.331573,48.872617,2019/03/15,2019/06/22,MM_MONDE_GARNIER_2016_EVENT
252081,0102f810160f6301,3G,5647,25345,598244,2431697,2.312576,48.88357,2019/03/15,2019/06/22,RUE_SAUSSURE
252082,0102f810160f9bea,3G,5647,39914,597133,2430586,2.297444,48.873581,2019/03/15,2019/06/22,FRIEDLAND_RE
252084,0102f81016117adc,3G,5649,31452,601281,2429002,2.353954,48.859351000000004,2019/03/15,2019/06/22,TEMPLE_PLATRE
252085,0102f81016118eff,3G,5649,36607,601047,2430252,2.3507689999999997,48.870585,2019/03/15,2019/06/22,OSM_FT_BONNES_NOUVELLES_PARIS
252090,0102f81016147521,3G,5652,29985,608497,2425714,2.4521759999999997,48.829746,2019/05/05,2019/06/22,LAC_DES_MINIMES
252397,0102f8106204fe41,3G,25092,65089,600744,2431629,2.346644,48.882961,2019/03/15,2019/06/22,RUE_CONDORCET
252398,0102f810620634c5,3G,25094,13509,599526,2430958,2.330047,48.876931,2019/03/15,2019/06/22,OSM_GOOGLE_PARIS_LONDRES_INDOOR
252399,0102f8106206353e,3G,25094,13630,599175,2430913,2.3252639999999998,48.876526,2019/03/15,2019/06/22,SAINT_LAZARE_INDOOR
252400,0102f81062066054,3G,25094,24660,599451,2431691,2.329024,48.883519,2019/03/15,2019/06/22,PLACE_PIGALLE
252401,0102f8106206754e,3G,25094,30030,598953,2430496,2.322241,48.872778000000004,2019/03/15,2019/06/22,OSM_SOCIETE_GENERALE_ANJOU08_IND
