;0
392;0102f8100708f0fc
393;0102f810950000ca
394;8102f8100099530a
395;8102f81000995702
396;8102f810009b2801
397;0102f810041f06e5
398;0102f810041f3e9f
399;8102f81000996c09
400;8102f81000997d08
401;8102f810009c5103
402;8102f81000a11b04
403;8102f81000aeeb02
404;8102f81000aeec06
405;8102f81000aef003
406;0102f810041f00d9
407;0102f810041f0990
408;0102f810041f23ed
409;0102f810041f2ce6
410;0102f810041f3d2c
411;0102f810041fa97c
412;0102f810041fcb17
413;0102f810041fde7c
414;0102f810041feafd
415;0102f81007083cac
416;0102f810070860d8
417;0102f810510970e6
418;8102f81000995b0c
419;8102f81000996409
420;8102f8100099750c
421;8102f810009c510b
422;8102f81000a1050b
423;8102f81000aeef05
424;0102f810041ee522
425;0102f810041f14d9
426;0102f810041f374c
427;0102f810041f7c3e
428;0102f810041fc8fc
429;0102f8109500003d
430;8102f8100099b30a
431;8102f81000a4bb03
432;8102f81000aeca06
433;0102f810041e924d
434;0102f810041ea410
435;0102f810041f183c
436;0102f810041f2eb1
437;0102f810041f7751
438;0102f810041fca00
439;0102f810041feab6
440;0102f810041ff0fb
441;0102f81007083d8d
442;0102f8105109003e
443;8102f81000995803
444;8102f81000995a07
445;8102f8100099a009
446;8102f8100099ae0b
447;8102f810009b9207
448;0102f810041f0985
449;0102f810041f83ab
450;0102f810041fb5f9
451;0102f8100708c890
452;0102f81051095d2c
453;8102f81000995203
454;8102f81000995b05
455;8102f81000997205
456;8102f81000997906
457;0102f810041f60f9
458;0102f810041f7c7b
459;0102f810041fac76
460;0102f810041fb91d
461;0102f810041fc206
462;0102f810070844f2
463;0102f8105109346d
464;0102f81051098e5c
465;8102f81000996809
466;8102f81000997903
467;8102f8100099790b
468;8102f8100099930c
469;8102f8100099ad0e
470;8102f810009b2808
471;8102f81000a0bc02
472;8102f81000b9cc0c
473;0102f810041f2d89
474;0102f810041fad51
475;0102f810041fe543
476;0102f810070804a9
477;0102f81007086b47
478;8102f81000999f04
479;8102f81000999f07
480;8102f8100099a001
481;8102f8100099a002
482;8102f8100099a10a
483;8102f810009c5108
484;8102f810009ec601
485;8102f81000a45d08
486;8102f81000aeeb04
487;0102f810041f183e
488;0102f810041f5be2
489;0102f810041f8df6
490;0102f810041fec42
491;0102f8105109307a
492;0102f81051095b03
493;8102f81000997905
494;8102f81000998406
495;8102f81000999508
496;8102f8100099a00a
497;8102f81000a45d01
498;8102f81000a68d07
499;0102f810041f7750
500;0102f810041fa4ec
501;0102f810041fc076
502;0102f81051095b26
503;8102f81000997708
504;8102f8100099770c
505;8102f81000998b04
506;8102f8100099ae05
507;8102f8100099b302
508;8102f8100099b502
509;8102f810009c5d0b
510;8102f81000a10509
511;0102f810041f067b
512;0102f810041f1ff3
513;0102f810041f4def
514;0102f810950000c8
