Dataset,Event_Surname,"Major event","Temporal spread","Spatial spread",Date_start,Date_end,Date_series,Date_interval,Time_start,Time_end,"WGS84 Coordinates (DD)",LOC_name,City,Event_type,Commentaire,source(s),"Non trouvé (fichier Jules)"
Cancan,"Match de foot (France – Islande) ",,large,punctual,43549,,,,0.8645833333333334,0.9423611111111111,"48.92462129531899, 2.3601537778960435","Stade de France",Paris,Sportif,,https://www.eurosport.fr/football/qualifications-euro/2020/live-france-islande_mtc1086637/live.shtml,
Cancan,"Course Les Foulées de l’Assurance",,large,large,43548,,,,0.4166666666666667,0.5,"48.864576870101416, 2.2510210521033573","Bois de Boulogne",Paris,Sportif,,https://www.runtrail.fr/results/4394/les-foulees-de-l-assurance,
Cancan,"Concert Véronique Sanson",,large,punctual,43579,43582,"2019-04-24 ; 2019-04-26 ; 2019-04-27",,0.8541666666666667,0.9583333333333334,"48.83289814394991, 2.286257990007202"," Palais des sports",Paris,Concert,,https://www.ledomedeparis.com/fr/veronique-sanson,
Cancan,"Concert Florence And The Machine",,large,punctual,43548,,,,0.8333333333333334,0.9791666666666667,"48.838643772363945, 2.3790240883358718","Bercy AccorHotels Arena",Paris,Concert,,,
Cancan,"Visite du président chinois Xi Jinping",,large,,43548,,,,0.75,0.9375,"43.69530894548629, 7.26785749402537","Promenade des Anglais, ville en général (gares)",Nice,Politique,"Fermeture de routes-bouchons",https://www.lefigaro.fr/actualite-france/2019/03/24/01016-20190324ARTFIG00049-nice-et-monaco-a-l-arret-pour-la-visite-de-xi-jinping.php,
Cancan,"Concert Kids United",,large,punctual,43547,43548,,,0.7083333333333334,0.8333333333333334,"48.83289814394991, 2.286257990007202"," Palais des sports",Paris,Concert,,https://www.offi.fr/concerts/palais-des-sports-2911/kids-united-1387750.html,
Cancan,"Manifestation Gilets jaunes",1,large,large,43547,,,,0.375,0.6666666666666666,"43.70115499430211, 7.280181139380051","Place Garibaldi",Nice,Manifestation,"Faible mobilisation mais charge violente (affaire Geneviève Legay)",https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/nice/19e-samedi-mobilisation-gilets-jaunes-malgre-interdiction-manifestants-reunis-nice-1643370.html,
Cancan,"Concert Zaz",,large,punctual,43546,,,,0.8333333333333334,0.9791666666666667,"48.838643772363945, 2.3790240883358718","Bercy AccorHotels Arena",Paris,Concert,,,
Cancan,"Concert Eddy de Pretto",,large,punctual,43546,,,,0.8333333333333334,0.9791666666666667,"48.894331523809065, 2.3932821496276033","Zenith de Paris ",Paris,Concert,,,
Cancan,"Concert Dire Straits Experience",,large,punctual,43544,,,,0.8333333333333334,0.9791666666666667,"48.87031805662914, 2.3283764194805943",Olympia,Paris,Concert,,,
Cancan,"Concert Jain",,large,punctual,43544,,,,0.8333333333333334,0.9791666666666667,"48.894331523809065, 2.3932821496276033","Zenith de Paris ",Paris,Concert,,,
Cancan,"Concert Shawn Mendes",,large,punctual,43543,,,,0.8333333333333334,0.9791666666666667,"48.838643772363945, 2.3790240883358718","Bercy AccorHotels Arena",Paris,Concert,,,
Cancan,"Salon du Livre",,large,punctual,43539,43542,,,0.4166666666666667,0.8333333333333334,"48.830408147965684, 2.2881741657849077","Paris Expo - Porte de Versailles",Paris,Culturel,,https://www.sortiraparis.com/loisirs/salon/articles/47556-livre-paris-2019-le-salon-du-livre-porte-de-versailles-le-programme,
Cancan,"Les 10km des étoiles ",,large,large,43541,,,,0.3958333333333333,0.47916666666666663,"48.86186746357795, 2.332923319868896 ; 48.85574430029087, 2.28759170646756","Le Louvre - Pont Bir Hakeim",Paris,Sportif,,https://www.parisrunningtour.com/fr/project/10-km-etoiles-2019/,
Cancan,"Match de foot (Paris PSG – Marseille)",,large,punctual,43541,,,,0.875,0.9583333333333334,"48.841583841792456, 2.2530701639224655","Parc des Princes",Paris,Sportif,,https://www.eurosport.fr/football/ligue-1/2018-2019/live-paris-saint-germain-olympique-de-marseille_mtc1029736/live.shtml,
Cancan,"Incendie de l’église Saint-Sulpice",1,"punctual start",punctual,43541,,,,0.5694444444444444,0.6111111111111112,"48.85113653430009, 2.3350198341032926","Eglise Saint-Sulpice",Paris,Incendie,,https://www.la-croix.com/Religion/Catholicisme/France/A-Paris-lincendie-leglise-Saint-Sulpice-maitrise-2019-03-17-1201009433,
Cancan,"Paris-Nice (cyclisme, dernière étape Nice-Nice)",,large,large,43541,,,,0.5743055555555555,0.7340277777777778,"43.69498056008093, 7.268329785993904","Promenade des Anglais",Nice,Sportif,,,
Cancan,"Manifestations gillets jaunes",1,large,large,43540,,,,0.4375,0.75,"48.87166977582276, 2.3013595011971586 ; 48.87378060795402, 2.2950519940990337","Champs-Elysées ",Paris,Manifestation,"Casses , Fermetures de route, saccage puis incendie (16h50) du Fouquet's",https://www.lefigaro.fr/actualites/2019/03/16/01001-20190316LIVWWW00031-en-direct-gilets-jaunes-18e-samedi-de-manifestations-crainte-de-nouvelles-violences.php,
Cancan,Eco-trail,,large,large,43540,,,,0.4166666666666667,0.9993055555555556,"48.85845476332625, 2.294481303675244","Arrivées Tour Eiffel ; Promenade d'Australie ; Domaine de Saint-Cloud",Paris,Sportif,,https://www.runtrail.fr/event/3918/ecotrail-de-paris,
Cancan,"Concert d'Amir",,large,punctual,43540,,,,0.8333333333333334,0.9791666666666667,"48.894331523809065, 2.3932821496276033","Zenith de Paris ",Paris,Concert,,,
Cancan,"Concert Celtic Legends",,large,punctual,43539,,,,0.8541666666666667,0.9791666666666667,"48.87031805662914, 2.3283764194805943",Olympia,Paris,Concert,,,
Cancan,"Concert Drake",,large,punctual,43537,43540,"2019-03-13 ; 2019-03-15 ; 2019-03-16",,0.8333333333333334,0.9791666666666667,"48.838643772363945, 2.3790240883358718","Bercy AccorHotels Arena",Paris,Concert,,https://www.sortiraparis.com/scenes/concerts-music/articles/184554-drake-live-at-paris-accorhotels-in-march-2019/lang/en,
Cancan,"La foire de Nice",,large,punctual,43533,43542,,,0.4166666666666667,0.7916666666666666,"43.70538745794532, 7.2815569653374785","Esplanade de Lattre de Tassigny - Palais Acropolis",Nice,Culturel,,https://www.nicerendezvous.com/2019030413692/la-foire-de-nice-2019-fete-le-cinema.html,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ANRITSU,"Manifestations pro-Palestine interdites",,large,punctual,44331,,,,0.6041666666666667,0.8368055555555556,"48.885218152259974, 2.3495713508985525 ; 48.887711922238324, 2.348889070673134 ; 48.89381302841948, 2.3478326389412927 ; 48.89812625798208, 2.3443225145133053","Paris boulevard Barbès, porte de Clignancourt",Paris,Manifestation,"Affrontements manifestants et forces de l'ordre",https://www.leparisien.fr/societe/manifestation-pro-palestinienne-a-paris-la-police-mobilisee-et-les-commerces-fermes-suivez-les-evenements-en-direct-15-05-2021-UNQMURWHSRESNJYKLTUJJCGV6Q.php,
ANRITSU,"Arrivée Tour de France 2021",,large,punctual,44395,,,,0.7479166666666667,0.8402777777777778,"48.83710107887419, 2.2680521700106704 ; 48.8617641754069, 2.338224247344922 ; 48.87373641315305, 2.295041634080835 ; 48.865346651998486, 2.3212132617541923 ; ","Quai d'issy - Le Louvre - Champs Elysées",Paris,Sportif,,,
